CSA,Czech Airlines a.s.
0SE,Viking Air Transport
8DR,DNL
2VW,Central Air Transport
5NB,ANDESA
3XN,Military -  (2) U.S. Army Air Forces
7PS,British European Airways
5AF,AtlantiCentral Airlines
9SJ,Trans Luxury Airlines
3KO,Trans-Luxury Airlines
1UB,British South American Airways
5MG,Mt. McKinley Airfreight
8EK,American Overseas Airlines
6PX,Military - Royal Netherlands Naval Air Service
0HC,Air Ocean
8RO,National Air Transport Services
2JT,Socotra
6BY,CTA LanguedoRoussillon
4MK,Empressa Commun. Aéreas de Veracruz
8EP,Lineas Aéreas Costarricenses  LACSA
1WU,Fuerza Aérea Argentina
0GH,Aeroflot
3YL,Military - U.S. Marine Corps
1JY,Far Eastern Air Transport
5BD,Winged Cargo Inc.
9TI,FAMA (Argentina)
7DU,Kansas City Southern Skyways
1VZ,Nationwide Air Transport
4OE,Military - Mexican Air Force
3YQ,AVIANCA
6QV,Spencer Airways / Ceskoslovenske Aerolinie
5AI,Philippine Air Lines
8TN,International Air Freight
2LR,Aerovias Cuba International
0VE,Slick Airways
4NJ,Military - Corrieri Aerei Militari
7FN,VIARCO
6QA,Linea Aeropostal Venezolana
9IF,Flugefelag
8SR,Flota Aérea Mercante Argentina
1KW,Burke Air Transport
5CB,Aero Cargo
3NO,Transporturile Aeriene Romano-Sovietice
7FS,Norwegian Airlines
0XX,Stratofreight
9HK,Societe Aerienne du Littoral
2ZP,Philippine Air Express
1KB,Société Auxiliare de Navigation Aérienne
4CG,Trafik-Turist-Transportflyg
8UL,TARS
6EX,Columbia Air Cargo
0WC,JAT Yugoslav Airlines
3OH,Alaska Airlines
2ZT,Air India
5RY,Servicio Aéreo Panini
4BL,Coastal Air Lines
7TQ,Transport Comp. Algerienne de T.A.
1LU,Dominicana
9WH,Airline Transport Carriers
3OM,Det Danske Luftfartselskab
6GR,Società Aerea Teseo
5QD,Commercial Airways
8II,Bruning Aviation
7TV,Military - Brazilian Air Force
0LZ,Société de Transports Aériens
4DE,Loftleidir IcelandiAirlines
2NR,Agencia Interamericana de Aviada
6GW,Indian National Airlines
9YA,British European Airways / Military - Soviet Air Force
8IN,Skyways of London
1AS,Mercury Aviation
0LE,Air Transport Charter
3DJ,Alpha Airways
7VO,Hargreaves Airways
5FA,Scandinavian Airlines (SAS)
9XF,Aigle Azur
2PK,Aerovias Brasil
1AX,Cathay PacifiAirways
4SB,Rimouski Airlines
3CO,ALFA
6UT,Civil Air Transport
0MY,Onzeair
8XK,New Zealand National Airways
2PP,Avensa
5HU,PacifiAlaska Air Freight
4RG,Mannin Airways
7JL,Pakistan Airways
6UY,LANSA
9MC,Airborne Transport
3EH,Pan African Air Charter
1OU,Seattle Air Charter
5GZ,Coastal Cargo
8YD,Viacao Aerea Gaucha S.A.
7JQ,Dalmia Jain Airways
0BV,Saint Lawrence Airways
9LH,British European Airways / Military - British
2DM,TAM (Peru)
6VR,Queensland Airlines
4GE,Tech - Aeronautical Explotiation
8YI,Strato Freight
1QN,MaRoberston-Miller Airlines
0AA,Air Transport Associates
3TF,Eastern Air Lines / Military - USN
2DR,Lineas Aéreas Brasil
5VW,Shell Co of Ecuador
9NB,SAETA
7YN,Transocean Air Lines
1QS,Canadian PacifiAir Lines
5IX,Eastern Air Lines / Military - Bolivian Air Force
3SJ,Harrington's Inc
6KO,Aero Holland
5VB,REAL
8NG,Arrow Airlines
2FK,Pakair
0PX,Capital Airlines
4HC,Bharat Airways
8ZH,Ejercito del Aire
6KT,Societe Transatlantique Aerienne
9CY,Societe Indochinoise de Transport Aeriens
8ML,Fairflight Ltd.
1EP,Devlet Hava Yollairi
5WU,SEMAF
3HH,Deccan Airways
7ZL,Lineas Aéreas Nacionales
1RQ,Regina Cargo Airlines
9BD,Westair Transport
3TI,New Tribes Mission
1EU,Ansett ANA
4WZ,DTA Angola Airlines
8OE,Cie Air Transport
6YQ,Trans World Airlines
0QV,Robinson Airlines
4IA,Iran Air
2TN,Svenska Aero
6LR,Air Atlas
4VE,Curtiss-Reid Flying Services Ltd. (Canada)
8NJ,Garuda Indonesia Airlines
1GO,Indamer
9QA,T.A. Intercontinentaux
3IF,Aerolineas Argentinas
7AK,Air Carriers
5LW,Alitalia
9DB,Icelandair
7NO,Military - Portuguese Air Force
1FS,Mid Continent Airlines
4XX,PacifiOverseas Airways
2IK,Southwest Airways
6AP,Siamese Airways
0ST,Cubana de Aviacion / Military -  US Navy
8CG,Hunting Air Travel
