CSA,Czech Airlines a.s.
5EL,Interflug
3PY,Lineas Areas Venezolanas
7HD,Ansett Airlines of Papua New Guinea
0ZI,Servicios Aereas Virgen de Copacabana
9JU,Military - Royal Nepalese Air Force
2BZ,Cambodia Air
6TE,Flamingo Airlines - Air Taxi
4EQ,Uruguayan Air Force - TAMU
8WV,Air Melanesie
6GI,Metro Air Systems
0YN,Luthi Aviation - Air Taxi
3QR,Superior Airways
2BE,Zantop Airways
5TJ,Delta Air Lines/ North Central Airlines
9LN,Air Guadeloupe
7VA,American Express Leasing
1NF,Air Transit - Air Taxi
9YR,TAN
3QW,Air Sinai
6IB,Harry Faulkner - Air Taxi
5SO,Red Carpet Flying Service - Air Taxi
8KS,Petrolium Helo Inc.
2CX,Aerovias Urraca
0NK,Libya Arab Airlines
4FP,Military - Polish Air Force
2PB,Lineas Aereas de Espana/Spantax SA Transportes
6HG,Invicta International Airlines (UK)
9ZL,Military - U.S. Navy / NASA
8KX,Bakhtar Afghan Airlines
1CC,Air Iowa
5UH,Winship Air Service - Air Taxi
3ET,Air Gaspé
7XY,Aeromexico
5HL,Revilla Flying Service - Air Taxi
9ZQ,Aegler Stuart Flying Service  / Private
2RU,Wicks Flying Service - Air Taxi
1CH,Dunlap Aviation - Air Taxi
4UM,Lisa Jet Inc. - Air Taxi
8MR,Texas International Airlines
6WD,Aeronorte
0OI,Taxi Aéreo Cesar Aguiar
8ZV,Avionas  Banamex
2RZ,CATA
5JE,Jack N. Boswick - Air Taxi
4TR,Churchill Falls Co.
7LW,Capitol Air Service - Air Taxi
1DA,Executive Funds
9ON,Servicios Aéreos Boliviano
3GS,Air East
1QE,Cessnyca
5IJ,Inland Aviation - Air Taxi
8AO,Taos Airways - Air Taxi
7LA,Theif River Aviation - Air Taxi
0DF,Military - West German Air Force
4VK,North Cay Air - Air Taxi
2FX,Pathet Lao Airlines
6XB,Sierra PacifiAirlines
4IO,Wenela Air Services
8AT,Houston Metro Airlines
2SY,Aero Taxis Equatorianos
0CK,Fragtflug
3UP,Lambair
7MU,Aeronorte Colombia
5XG,Air Amercia
9PL,Laurentian Air Services
7ZY,Military - Canadian Air Force
1RC,Air  Mali
5KH,MerriAviation - Air Taxi
3UU,Military - Zairean Air Force
6MZ,Riverside Air
0ED,Frontier Flying Service - Air Taxi
8PQ,North Cay Airways
2HV,Evergreen Helicopter - Air Taxi
0RH,Webber Airlines -Air Taxi
4JM,Mabuhay Airways
8BR,Deming Flying Service - Air Taxi
6ME,AltusFlying Service - Air Taxi
0EI,Henry Nichols - Air Taxi
3WN,Alaska International Air
1GA,Hlavka Aviation - Air Taxi
5YF,Pan ArctiOil
3JR,Southeast Sky - Air Taxi
7BW,Orient Air System and Integrated Services
1TB,Alpa Servicios Aéreos
9DN,Martinair Holland NV
3VS,Aerovias Venezolanas SA (Venezuela)
6NX,Harbor Airlines - Air Taxi
5YJ,Richland Flying Service - Air Taxii
8QO,Military - Argentine Navy
6AB,Golden West Airlines / Private
0SG,Linea Aérea Nacional
4KK,Horizon Properties
2VX,Military - Deutsche Luftwaffe
6NC,PacifiAlaska Airlines
9FH,Burlington Air - Air Taxi
8PT,Skips Air Service - Air Taxi
1HY,Foster Aviation
9SL,Hamilton Aviation
3KP,Taxi Aereo El Venado
7CU,Touraine Air Transport
5MH,Military - Chilian Air Force
9EL,Aerovias Condor
2XQ,Homer Air Service - Air Taxi
1HD,Oceanaire Helicopter - Air Taxi
4ZI,Military - Nicaraguan Air Force
3JU,Portsmouth Aviation - Air Taxi
6CZ,Wien Air Alaska
0UE,Northern Thunderbird Air
8EQ,Connair
2WV,Inex Adria Aviopromet
5OA,Quakertown Aviation - Air Taxi
4ZN,Willow Air Service - Air Taxi
7RR,Military - Israel  Air Force
6BE,SceniAirline - Air Taxi
9TJ,Philippine Aerotransport
3LO,Star Aviation
1WA,Orlando Airways - Air Taxi
5OF,Taxi Aereo el Venado
8GK,Green Acres - Air Taxi
7QW,Frigorifico Maniqui
0IB,CAAC
9TO,Transbrasil
2LS,Falcon Airways - Air Taxi
6DX,LAC Colombia
4NK,Mercer Airlines
8FP,Antilles Air
1XT,Kodiak Western Alaska Airlines
0IG,Sky Haven - Air Taxi
3AL,North Sound Aviation
2KX,Royal American - Air Taxi
5CC,Yacimientos Petroliferos Fiscales
9UH,Chartair - Air Taxi
7FU,Lab Flying Service - Air Taxi
1XY,Sabah Air
4PD,Sky Chopper  - Air Taxi
3ZQ,Military - Burma Air Force
6RV,Reed Aviation - Air Taxi
5CH,Mamer - Shreck  - Air Taxi
8UM,Military - Spanish Air Force
2MR,Green River Aviation - Air Taxi
0WD,Aeroperu
4PI,Temsco Helicopter - Air Taxi
7HN,Military - Venezuelan Air Force
6RZ,Aeroflot / Aeroflot
9JE,Inex Adria Aviopromet / British Airways
8UR,Air West Airlines Ltd.
1MW,Loma Linda University - Air Taxi
5EA,Emirates Air Transport
3ON,Aero National - Air Taxi
7GS,Skyline Aviation - Air Taxi
0YX,Nordeste Linhas Aéreas
9JJ,Bali International Air Service
2BO,Inair Panama
1LB,Aeroleasing - Air Taxi
4DF,Grand Canyon Air - Air Taxi
8VK,AtlantiCity Airlines
6GX,Valley Air Service - Air Taxi
0YB,Jet Avia Charter
3QG,Northern Thunderbird Air Ltd.
2AT,Skyline Sweden
5SY,North Canada Air
4DK,Transportes Aéreos Itenez
7VP,Survair
1NU,Alyemda
9XG,Overseas National Airways
3PL,Pan American World Airways / KLM
6HQ,Military - Israel Air Force
5SD,IAS Cargo
8KH,New  York Helicopter
7UU,Intracostals - Air Taxi
0MZ,Fuerza Aérea Uruguaya
4EE,Fleming International Airways
2PQ,Military - Angolan Air Force
6HV,Harold's Air Service
9ZA,Military - Honduran Air Force
8JM,Gaige Aviation - Air Taxi
1CR,Private KNBC Los Angeles
0ME,Southwest Aviation - Air Taxi
3EI,Rambar Aviation - Air Taxi
7WN,Monarch Aviation
5HA,Island Airways
9ZF,Transmeridian Air Cargo
3RJ,Wright Air Service - Air Taxi
1BW,Servicios Aereos Nacionales Airways
4TB,Alaska Aeronautical Industries
3EN,Safe Air Cargo
6WS,Salida Flying Service - Air Taxi
0OX,Kenmore Air  - Air Taxi
8YK,Air Logistics
2QO,L & J Company
6IT,Servicios Aereos Martinez Leon
4TG,TAP (Air Portugal)
8LK,Munz Northern Airlines
6VX,Resort Air Service - Air Taxi
9NC,Malaysia Airlines
3FH,"National Jet Services Inc.,  (Air Indiana)"
1QT,Straley Flying Service - Air Taxi
5IY,SATA
9AD,Vieques Air Link
7KP,Kenn Borek Air
1CU,Aviation Charter - Air Taxi
9NH,Henry Webber Air - Air Taxi
2FM,SADELCA
6XQ,TABA
4HD,Military - Uruguayan Air Force
8ZI,Columbia PacifiAirlines
2RN,Yute Air Alaska - Air Taxi
0CZ,Security Air
4UE,LAV - Linea Aeropostal Venezolana
2ER,Hesler Noble - Air Taxi
6WV,Wyman Pilot Service - Air Taxi
9PA,Lake Havasu Air
7ZN,Aero Clube de Volta Redonda
1RR,South PacifiIsland Airways
5JW,Gander Aviation
3UJ,Helikopter Service
7MO,Amphibians
5WA,Aeropeca
9OF,Las Vegas Airlines
2GK,Antillies Air - Air Taxi
0RW,AirWest Airlines
4JB,Air Guinee
8BG,Air Rhodesia
6LT,Lineas Areas del Centro
0DX,Temesco Helicopter - Air Taxi
8OK,Alaska Travel
2GP,Viking Air Service - Air Taxi
5YT,Business Aircraft - Air Taxi
4IG,PacifiSouthwest Airlines / Private
7AL,Francisco Cruz
1SQ,Military - Finish Air Force
9DC,Era Helicopter - Air Taxi
3VH,Solomon Islands Airlines
1FU,Don Zimmerman - Air Taxi
5XY,Taxi Aéreo Kovacs
8PD,Nile Delta Air Services
7AQ,Astrd Wing Aviaiton - Air Taxi
0SV,Festus Flying Service - Air Taxi
4KZ,Tyee Airlines - Air Taxi
2UM,Corporate Air - Air Taxi
6MR,Rocky Mountain Airways
4XD,Air 70
8PI,Galesburg Aviation - Air Taxi
1HN,Chugiak Aviation - Air Taxi
0RA,Haïti Air Inter
3JE,Nash and Tampo - Air Taxi
7CJ,L.J. Simmons - Air Taxi
5MW,Air Rouergue
9EA,Aeropol
7ON,TAM Lineas Aéreas Regional
1HS,Air Gabon
4ZX,Universal Airways
3JJ,Agee Flying Service - Air Taxi
6BO,Swift Aire Lines Inc.
0TT,Village Aviation - Air Taxi
8EF,SW Air Rangers - Air Taxi
2WK,Catalina Airlines
0GX,Sea Airmotive
4YC,Military - Mauritanian Air Force
7QG,Skystream Airlines
6BT,Air New England
9TY,Soldotna Air Services
3LC,Fiji Air Services
1VP,Trans National Airlines
5NU,Boise Air Service
3YG,Southern Jersey Air - Air Taxi
7QL,Bahri Aviation
0IQ,Bradley Air Services
9SD,Butler Aviation Inc.
2KH,PacifiCoastal Airlines
6CM,Southeast Skyways - Air Taxi
4NZ,Comair
8FE,Spernak Airway - Air Taxi
6PQ,Rhoadgs Aviation - Air Taxi
0HV,Procurator Generale de la Republica
3ZA,Bankair Inc. - Air Taxi
2KM,McKenzie Flying Service - Air Taxi
5CR,Smithers Air Service
9UW,Aerolineas La Gaviola
7EJ,CAMBA
1WN,Douglas Airways
9HA,Private charter
3ZF,Ambler Air Service
6RJ,Iran National Airlines
5BW,Cubana de Aviacon
8UB,Advance Airlines
2MG,Rotor Airs In- Air Taxi
0WS,Eagle Commuter
4OX,VOTEC
2YK,Tomahawk Airways
6RO,VoteTaxi Aéreo
9JT,Northeast Jet
8TG,Lineas Aereas de Angola
1LL,Aero PaLease - Air Taxi
5DP,IMSS
3OC,Ryan Air Services
7GH,SceniAirlines
5QT,Air Pennsylvania - Air Taxi
9IY,Aeronaves del Peru
2AD,Prospec
1LP,Bouraq Indonesia Airlines
4DU,Military - Kuwait Air Force
8VZ,Florida Commuter Airlines
6FM,Military - Force Aérienne Zaïroise
0XQ,Military - Royal Saudi Air Force
8ID,Flugfelag Austurlands
2AI,Tampa Air Center - Air Taxi
5SN,Fuerza Aérea Venezolana
4CZ,Provincial Air Services
7UE,F.R. de la Direccion General de Ados
1MJ,Central Air Services
9XV,Tanzania Aviation
3PA,Queen Airmotive - Air Taxi
1ZN,Penninsula Airways - Air Taxi
5RS,Transportes Aereos del Caribe
9JW,Orcon Inc. - Air Taxi
7UJ,Military - Soviet Navy
0MO,Walker - Watts Aviation - Air Taxi
4ES,Private - Corporate
2OF,Berkshire Aviation - Air Taxi
6HK,Air Chaparral - Air Taxi
4RW,Talair
8JB,Urcupina
2BG,Freedom International
0LT,Air US / Private
3EX,Airfast Indonesia
7WC,TAAG Angola Airlines
5GP,Military - Ecuadorean Air Force
9YU,Shanair Inc. - Air Taxi
7JG,Taiwan Airlines
1BL,Taxi Aéreo el Venado
5TQ,G & W Aviation
3DC,Transamazonica
7VH,Skagway Air Service - Air Taxi
0NM,Aeroflot / Military - Russian Air Force
8YY,Aeroflot /Military - Russian
2QD,Military - Iranian Air Force
0AQ,Sky Train Air
4SV,NLM (Nederlandse Luchtvaart Maatschappij)
8KZ,Oefag Flugdienst
6VM,Aerolineas Argo
0NR,Cameroon Airlines
3FW,Moyer Aviation - Air Taxi
2PI,Guyana Airways
5HN,Inex Adria Aviopromet (Yugoslavia)
3SA,Private - Parajump air show
7KE,Spernak Airways - Air Taxi
1CJ,Hudson Air Service - Air Taxi
9MW,Bristow Helicopters
3EB,ACES Colombia
6WF,Sun West Airline - Air Taxi
5HS,Air Florida
8ZX,Military - Ethiopian Air Force
6JJ,Trans Air Services
0BO,LAC Columbia
2EF,Wideroe's Flyveselksap
6WK,Okanagan Helicopters
9OP,Air Affaires Gabon
8YC,Western Helicopter
1RG,Inter Island Air Services
0BT,Aerolineas Condor
3TY,Cia Brasiliera de Tratores
7LD,Central Mountain Air Services
5WP,Aerolineas Centrales de Colombia
9OU,Air Taxi - Basco Flying Service Inc.
2GZ,Pioneer Airlines
1QL,Air Taxi - Tyee Airlines Inc.
4IQ,Aeronor Chile
3TD,Air Taxi - Custom Air Transport Inc.
6LI,Rijnmond Air Services
0DM,RepubliAirlines
8NZ,Aeroleo Taxi Aereo
2FE,Total
5XI,Air Liberia
4IV,Japan Air Self-Defence Force
7AA,SAN Ecuador
6KM,Linair Express
9CR,Military - Republiof China Air Force
3UW,Air Mali
1FJ,Air Taxi - Four Corners Aviation Inc.
5XN,CAAK
8PS,British Airways Helicopters
7ZF,Air Taxi - Northern Air Services Inc.
0RK,Moore's Air Charter
9CW,Gulf Air
2UB,Air Taxi - Ozark Skyways Inc.
6MG,Air Illinois
4WS,Pennsylvania Airlines
8OX,Iberia Airlines / Aviaco
1HC,Air Taxi - Island Airlines
0RO,TAMPA Colombia
3JT,Inuvik Coastal Airways
2TG,Military - Royal Jordanian Air Force
5LL,Skycraft Air Transport
9EP,North East Bolivian Airways
7OC,Britt Airways
1GH,Military - Salvadoran Air Force
4YM,Flight Safety Australia
3JY,Taxi Aéreo del Guaviare
6BD,Aerosucre Colombia
5LQ,Frigorifico Reyes
8DU,State Airlines
2VZ,Líder Táxi Aéreo
0GM,VOTEC / VOTEC
4YR,Tierra del Fuego Province
7QV,Zantop International Airlines
6AI,Air Continental
9SN,Air Taxi - Raco Helicopters Corp.
8DZ,Coval Air
1VE,Bangladesh Biman
5NJ,Aviation Enterprises
3XV,Wings West Airlines / Private
7PA,Provincetown - Boston Airlines
0HF,MMM Aero Services
9SS,APRL
2KW,AECA Cargo
1UJ,Air Niagara
4MO,Air Taxi - Desert Flying Service
8ET,Nahanni Air Services
6PF,Labradore Airways
0HK,Mililtary - Soviet Air Force
3ZP,Village Airways
2JB,Euroair
5BG,Air Taxi - Richards Aviation Inc.
4MT,Air Taxi - Delaware Aviation LLC
7EX,TPI International Airways
1WC,Galaxy Airlines
9GP,AIRES Colombia
3YU,Air Taxi - Air Trends Inc.
6RY,North PacifiAirlines
5BL,Air Taxi - Oklahoma Airways Inc.
8TQ,Air Taxi - Mercy Flights Inc.
7DC,Dirgantara Air Services
0WH,YPF
4OM,Air Taxi - Eidoarie Inc.
2YZ,Air Taxi - Monument Valley Air Service
6QD,Aeronica
0II,Carga Aereo Transportada
8TV,Aeroflot / Soviet Air Force
1LA,Empresa Nacional de Transp.  Trabalho Aereo
0VM,Acme Air
3NR,General Aviation Inc.
7FW,Air Ohio - Air Taxi
5QI,Fuerza Aérea Colombiana
9IN,Alyemda Airlines
3AS,Air Taxi - Jet Alaska
1KE,British Airtours
5CJ,Bar Harbor Airlines
3NW,Midwest Express
6FB,Air Taxi - Henson Airlines
0XF,MAP
8HS,Air Carriers Express Services Inc
2ZX,Air Albatross
6RC,Pel Air
4CO,Sabeni
8UT,Mountain Air Cargo
6EG,Air Taxi- Hermans Air Inc.
9WK,Military - Indonesian Air Force
3OP,Arrow Airways
1ZC,Aerovias de Guatemala SA
5RG,Aerocalifornia
9JL,GLM Aviation
7TY,Taxair
1LD,Simmons Airlines
9WP,Goose Bay Air Services
3OU,Ministerstvo Obshchestvo Mashinostroyeniya
6GZ,Military - Mozambique Air Force
4QL,Military - El Salvador Air Force
8JQ,Air Lanka
2BV,Air Taxi - Islip Airco Inc.
0LI,Military - Armée de l'Air Malgache
4DM,Loganair
2OZ,Grand Canyon Airlines / Helitech
6GE,Military - Zimbabwe Air Force
9YJ,Leeward Islands Air Transport
8IV,Denver Air Center
1AA,Southwest Airlift
5SF,Aeromexico / Private
3DR,Peninsula Air Services
7VW,Kondair
5FJ,AtlantiSoutheast Airlines
9XN,East Indonesia Air Taxi
2PS,Southern Air Transport
1AF,Military - Chilian Navy
4SK,Air Taxi - New London Flying Services Inc.
8KO,Government of Mozambique
6UB,Private - WNBC
0MG,British International Helicopters
8XS,Military - Afghan Republican Air Force
2PX,Iraqi Airways
5HC,Sunflower Airlines
4RP,Military - Spanish Air Force.
7JT,Trillium Air
1BY,Skywest Airlines / Private.
9ML,California Air Charter
3EP,Air Reconnaissance Unit of Liberia
1OC,Aero France
5GH,Skyworld Airlines (Ports of Call Inc.)
8YM,Northwest Airlink
7JY,California Air National Guard
0BD,Connie Kalitta Services
4TI,Scanex Air
2DU,Burlington Air Express
6WZ,Air-Lift Commuter
4GM,Sasco Air Lines
8YR,American Eagle
1QV,Air Manitoba
0BI,YPFB Transportes Aereos
3TN,Missionary Aviation Fellowship
7LS,Travel Air Flug
5VE,Rutaca
9NJ,Military - Peruvian Air Force
7YW,Belize Air International Ltd.
1QA,DHL
4IF,Northwest Airlines
3SS,Oxaero Ltd.
6KW,Aeroejecutivos Colombia
0CB,Air Taxi - Flying School of the Cascades Inc.
8NO,Air Malawi
2FT,Flynn's Ferry Service
0PF,Cooper Skybird Air Charters
4HK,Military - Peruvian Naval Aviation
7ZP,Air Littoral
6KB,Air Taxi - Petroleum Helicopters Inc.
9CG,Southcentral Air
3UL,Panorama Air Tour
1EY,Merpati Nasantara Airlines
5WC,Condor Flugdienst
3HP,ETA - Empresa Transportes Aéreos
7ZU,China Southwest Airlines
0RZ,Trans Colorado AL / Continental Express
9BL,Fuerza Aérea Panamena
2TQ,Air Taxi - Minuteman Aviation Inc.
6LV,NFD - Nurnberger Flugdienst
4WH,AV Air / American Eagle
8OM,Talia Airways
6YZ,Commercial Airways (Comair)
0QD,Transport Arien Transregional
3JI,Arax Airlines
2TV,Kuwait Airways
5LA,Chaillotine Air Service
9DE,Military - Cuban Air Force
7OR,Aloha Airlines
1GW,Jay Hawk Air - Air Taxi
9QI,Starair
3IN,North American Sabreliner 40
6AS,Lineas Aéreas Suramericanas
5LF,Angola Air Charter
8DJ,Air Taxi - Temesco Helicopters Inc.
2VO,Geoterrex
0FB,MD Air Services
4XF,Kinair Cargo
2IS,Transporte Aereo Federal
6AX,Aerocaribe
9SC,Wrangell Air Service
8CO,Hang Khong (Vietnam)
1UT,TAME Ecuador
5MY,Aramar
3XK,Shanxi Airlines
7PP,Air Taxi - Northern Arizona Aircraft Inc.
5ZC,Uganda Airlines
9RH,Vayudoot
2JL,Aero Peru
1UY,Air Taxi - TAJ FBO Co.
4MD,Wasa Wings
8EI,JC Air
6OU,Aero Club Libya
0GZ,T & G Aviation
8RM,Military - Russian Air Force / Military - Russian Air Force
2JQ,GAS Air
6BV,Broughton Air Servces
4LI,Aerolineas La Paz
7DM,Military - Canadian Army
1WR,RAM
9GE,Independent Air Inc.
3YJ,Air Taxi - Las Vegas Flyers Inc.
1IV,Albancion Circulo
5BA,Transfair
9TF,Air Ontario
7DR,Aero Condor
1VW,Mid PacifiAir
4NB,Evergreen International Airlines
2YO,Europe Aero Service EAS
6QS,Aero Cozumel
4AF,Southern Express
8SK,Holmstoem Air
2KO,Aero Asahi
0VB,Surinam Airways
4NG,Aerotaca
7FL,SceniAir Tours
5PX,Formosa Airlines
9HC,Calair
7SP,Air Taxi - Centre Airlines Inc.
1KT,Air Freight New Zealand
5CY,OlympiAviation
3ML,RRC Air Service
7EQ,Aspring Air
0WU,China Eastern Airlines
9HH,Bay Land Aviation
2ZM,Partnair
0JY,Wehite Cap Aviation
4BD,Boeing KC-135E
8TI,USAir
6EV,Skylink Airlines
0WZ,Nile Safaris Aviation
3OE,Winchester Air
2YR,TAUSA
5QV,Air Taxi - Paramount Aviation Corp.
4BI,Aloha Island Air
7TN,Weasua Airtransport
1LS,Military - Royal Lesotho Defence Force
9VE,Military - People's Army/ Military - Peoples Air Force
3OJ,Tepper Aviation
6GO,Lineas Aéreas Cave
5QA,New England Airlines
8IF,United Express
7TS,Air Fiordland
0LX,SANSA
4DB,Federal Express
2NO,Aeroflite Services
6FT,Military - Venezuelan Navy
9XX,Airfast Services
8IK,Military - Congolese Air Force
1AP,Airborne Express
0KB,Helicopteros Nacionales de Colombia
3CG,Military - Zambian Air Force
7UL,MIAT - Mongolian Airlines
5FY,Sinquanon Management - Air Taxi
9XC,Helicsa
2PH,TAN Honduras
1ZU,Air Taxi - Transamerica
4RZ,Aeroperlas
3CL,MATS - Manila Aero Transport System
6UQ,Aerial Transit Company
0MV,Avicsa
8WH,Air North Queensland
2OM,Military - Luftwaffe
5GR,Aerolift Philippines
4RE,Ptarmigan Airways
7JI,Air Taxi - Trail Lake Flying Service Inc.
6TV,Air Taxi - Aero West Aviation Inc.
9LA,Servicio Expresso Nacional
3DE,Private - Omniflight Helicopters
1OR,Nuna Air
5GW,SUDENE
8YB,HiTech Helicopters
7IN,China Southwest Airlines / Xiamen Airlines
0BS,BAFIN
9LF,MAP - Ministerstvo Aviatsionnoi Promyshlennosti
2DJ,Bangkok Airways
6VO,Eitos
4GB,Northwest Airlines/ Northwest Airlines
8YG,Sudania Air Cargo
1QK,MarkAir Commuter
0AX,Belair - Air Taxi
3SC,Lockheed AC-130H Hercules
2DO,USAir / Skywest Airlilnes
5VT,Military - HelleniAir Force
9NY,Macon Horizons - Air Taxi
7XK,Air Taxi - Richmor Aviation
1PP,Ryan International Airlines
4HU,Fuerza Area Angolaise
3SH,Luft-Taxi Emsland
6KL,Duncan Aircraft Sales
5UY,Transafrik
8MD,Conesul Taxi Aéreo
0PU,Broward Aviation Services - Air Taxi
4HZ,Military - U.S. Navy / Military -  U.S. Navy
7ZE,Uzbek Civil Aviation Administration
6JQ,TropiAir - Air Taxi
9BV,Air Tahiti
8MI,Air Taxi - Air Grand Canyon Inc.
1EN,ADES Colombia
5WR,Metro Cargo
3GE,Lauda Air
7YJ,Agape Flight Inc.
0QN,Carib Air Transport
9BA,Okada Air
2TF,Helicol Colombia
1DR,Aerochasqui
4VW,L'Express Airlines
8OB,Nationair (chartered by Nigeria Airways)
6YO,Jetstream Inc.
0QS,Air Taxi -Wilderness Aviation Inc.
4IX,Vanair
2TK,Avalki Air
5LP,Air Taxi - Haines Airways Inc.
4VB,Transports Aériens de la Guinee-Bissau
7NG,Temsco Airlines
9QX,Air Taxi - Bohemia Inc.
3IC,Airtech Rajawaldi Udara
7AH,Lineas Aéreas Colombianas
5KT,Canair Cargo
8CY,CORAL Colombia
7NL,Deraya Air Taxi
0FQ,EDELCA
4XU,Corporate Mobility Inc. - Private
2HH,Military - Azerbaijan Air Force
6ZM,Nordeste Linhas Aereas
8CD,Baron Aviation
2UI,Air Taxi - Airis Helicopters Inc.
0EV,Azerbaijani Airlines
3WZ,STASA
7OE,Tartarstan Airlines
5ZR,Military - Força Aérea Brasileira
9RW,Bruno Air
3JA,ClassiWings
1TN,Commutair
3WE,Air Taxi - Air Vegas Inc.
7OJ,Air Rainbow
0GO,Gambcrest
8QA,Frigorifico Santa Rita
2IF,Lina Congo
6BK,CC Air
4LX,Golden Star Air Cargo
8DB,Kamchatavia
6NO,Air Bissau
0GT,Military - Kenyan Air Force
1IK,Perris Valley Aviation
5AP,Saha Airline Services
7DG,COPA (Panama)
1VL,GP Express Airlines
9FY,Jet Charter Group
3XC,Air taxi
6PH,Adventure Airlines
5AU,Krasnoyarskavia
8SZ,Caribbean Air Carrier - Air Taxi
2KD,Military - Sri Lanka Air Force
0UQ,ArctiCircle Air Service
4MV,Military - Unified Yemen Air Force
2XH,Georgian Air
6PM,Mandala Airlines
9HR,Volga-Dnepr Airlines
8RE,Aero Eslava
1JI,Crasa - Air Taxi
5BN,Air Taxi - Western Helicopter Inc.
3MA,China General Aviation Corporation
5OR,Servicios Aereos Santa Ana
9GW,Lone Star Airlines
1JN,NewCal Aviation
4BS,Military - Salvadorian Air Force
8TX,Military - Peruvian Air Force - TANS
6DJ,Professional Aviation Services
0VO,EXA Inc.
8GB,Expresso Aéreo
2YG,Air Taxi - Hawaii Helicopters Inc.
5QK,Aero Ejecutivos
4AX,Avesca Colombia
7TC,Yakutavia
9VT,Military - Federal Nigerian Air Force
3NY,Miltiary - U.S. Airforce
1YL,Wuhan Airlines
5QP,Kiev Production Association
8IU,Syktyvkar Avia
7SH,Air Taxi - Alpine Aviation
0KM,Air Taxi - Baker Aviation Inc.
4CQ,Vietnam Airlines
2ND,Aerocaribbean - Charter
4PU,Air Taxi - Wilderness Aviation Inc.
8HZ,China Southern Airlines
1ZE,Aero Sudpacifico
0KQ,Scibe Airlift Cargo Zaire
3CV,Libya Arab Airlines / Military -  Libya Air Force
7UA,Air Taxi - South Coast Helicopters Inc.
5EN,Lufthansa Cityline
9WR,Titan Airways
7HE,Trans Service Airlift
1ZJ,Pan Malaysian Air Transport
4RO,Iran Air Tours  /  Military - Iranian Air Force
3BA,Cargo Three Panama
6TF,Palair Macedonian
8WW,Air Taxi - Guinn Flying Service
2OB,Oeste Linhas Aereas
0YO,Air Taxi - Sea PacifiInc.
4QS,Carga del Caribe
7IX,Tajikistan Airlines
6TK,Military - Georgian Air Force
9LP,Hyannis Air Service - Air Taxi
3DT,China Northwest Airlines
1NG,Asiana Airlines
3QX,Hornbill Airways
7IC,Everest Air
0AH,Air Taxi - Air Medical Leasing
9LU,American International Airways
2DY,Sakha Airlines
6VD,Transair Georgia Airlines
4FQ,Hibiscus Air
6IH,Roadrunner Airlines
0AM,China Northern Airlines
3SR,Magistralnye Avialinii
2CD,Aviaimpex (Macedonia)
5UI,Express Airlines - Northwest Airlink
9MN,ArctiWings & Rotors
7XZ,Air Senegal / Gambia Airways
1PE,Lao Aviation
9ZR,Air Taxi - Martin Aviation LP
3RW,Kuban Airlines
6JA,Baikal Air
5UN,Kimura International
8MS,AtlantiCoast Airlines (United Express)
0OJ,North Western Air Transport
4GO,British World Airways
2RB,Sahara
6JF,Jetcraft
0BK,Salair
8LX,Chalk's International Airlines
1DB,Aurukun Air Services
5VG,Orion - Air Taxi
3GT,Aeroflot Russian International Airways
5IK,Military - U.S. Air Force / Military U.S. Air Force
9AP,Air Taxi - El Aero Services Inc.
1DG,KLM Cityhopper
4VL,Rwanda Government
8NQ,Military - U.S. Army / Military U.S. Army
6YD,Action Airlines
0QH,Lineas Aereas de los Libertadores
8AU,Rico Taxi Aero
2SZ,Arall
4VQ,Transoriente Colombia
8NV,Aerolineas Cuahonte
9PM,TAESA
3HR,Air Taxi - Sun Western Flyers Inc.
1SE,Air Ivorie
5KI,Military - Dostum-Galboddin Militia
9CN,Airbus Industrie
7MA,Air Mauritanie
1EF,Air Taxi - Peninsula Airways
4WJ,Air Taxi - Papillion Helicopters Ltd.
3HW,Air Martinique
4JN,Sankuru Air Service
8BS,Alas Chiricanas
2TX,Air Taxi - Uyak Air Services Inc.
0EK,Air Taxi - Talon Air Services Inc.
4WO,Air Taxi - National Helicopters
7OT,Air Taxi - Lake Clark Air Inc.
6YG,Aerocontroctors - Charter
9QK,Oriental Airlines
7BX,Heavylift Cargo Airlines
1TC,Cheremshanka Airlines
3VT,TAM Paraguay
7NY,Radeair
9QP,Arsenyev Aviation Production Association
2IU,Seaview Aviation
1SH,SELVA
4LM,Iran Asseman Airlines
8DQ,Transportes Aereos Pegaso
6ND,Trigana Air Service
0FI,SA Amazonica
2IZ,Ameriflight
5AE,Air Taxi - Ryan Air Service
4KR,SL Aviation Services
7CV,Servivensa
1UA,Phoenix Aviation
9FN,Intercontinental de Aviacion
3XR,Empire Airlines
6PW,Canada Jet Charters
5ZJ,Air Taxi - Coastal Airways Inc.
7CA,Air Taxi - Wolfe Air Aviation Ltd.
0UF,Abakan Airlines
2WW,Leadair - Charter
6OB,Transasia Airways
9GG,Union Flights
8RT,Kiwi West Aviation
1JX,Transporturile Aeriene Romane (TAROM)
0TK,IAI 1124 Westwind
3LP,Bearskin Airlines / Air Sandy
7DT,American Jet
5OG,Knight Air
9GL,LACOL
2YQ,Senegalair
1IC,ValuJet
4AH,Ansett New Zealand
3LU,Volga Air
6DY,Harka Air Services
0VD,Air Taxi - Island Air Service
8FQ,Garamut Aviation
2YV,Air Taxi - Lab Flying Service Inc.
5QZ,Milne Bay Air
4AM,Military - Madagascar Air Force
7SR,Transniugini Airways
6DD,Aero Air
9VI,Bourag Indonesia Airlines
